PM2.5,AQI,Year_age_in_years,CO,City_Gurugram,City_Talcher,PM10,Month,NOx,Day,AQI_Bucket,City_Patna,City_Delhi,Date,City_Guwahati,City_Thiruvananthapuram,City_Lucknow,City_Shillong,City_Kolkata,City_Visakhapatnam,Year,Target,Linear_SVR_0
129.34,292.0,9,2.19,0,0,137.86,1,23.26,27,2,0,0,26,0,0,0,0,0,0,2015,129.34,129.33994551870472
129.34,292.0,9,1.16,0,0,137.86,1,13.41,27,2,0,0,26,0,0,0,0,0,0,2015,129.34,129.33907679637042
129.34,292.0,9,0.33,0,0,137.86,1,23.16,27,2,0,0,26,0,0,0,0,0,0,2015,129.34,129.33908410674906
154.2,318.0,9,10.36,0,0,217.2,1,34.63,27,5,0,1,26,0,0,0,0,0,0,2015,154.2,154.1998178262184
154.2,318.0,9,9.94,0,0,217.2,1,3.61,27,5,0,0,26,0,0,1,0,0,0,2015,154.2,154.2014239842588
154.2,318.0,9,1.71,0,0,217.2,1,15.67,27,5,0,0,26,0,0,0,0,0,0,2015,154.2,154.20026834927123
154.2,318.0,9,7.78,0,0,217.2,1,3.13,28,5,0,0,27,0,0,1,0,0,0,2015,154.2,154.2009334991994
154.2,318.0,9,4.87,0,0,217.2,1,11.58,28,5,0,0,27,0,0,0,0,0,0,2015,154.2,154.20079721485646
154.2,318.0,9,0.0,0,0,217.2,1,26.45,28,5,0,0,27,0,0,0,0,0,0,2015,154.2,154.19980646138174
154.2,318.0,9,0.36,0,0,217.2,1,24.15,28,5,0,0,27,0,0,0,0,0,0,2015,154.2,154.1999395917885
134.6,295.0,9,10.21,0,0,156.9,1,35.57,28,2,0,1,27,0,0,0,0,0,0,2015,134.6,134.59997047770668
134.6,295.0,9,2.81,0,0,156.9,1,14.9,28,2,0,0,27,0,0,0,0,0,0,2015,134.6,134.59907874505342
73.24,295.0,9,5.72,0,0,156.9,1,25.84,28,2,0,0,27,0,0,0,0,0,0,2015,73.24,73.23969779293198
73.24,295.0,9,12.85,0,0,156.9,1,2.21,29,2,0,0,28,0,0,1,0,0,0,2015,73.24,73.2407575728854
73.24,295.0,9,2.26,0,0,156.9,1,49.95,29,2,0,0,28,0,0,0,0,0,0,2015,73.24,73.24015722182817
73.24,295.0,9,0.0,0,0,156.9,1,26.3,29,2,0,0,28,0,0,0,0,0,0,2015,73.24,73.240111151223
73.24,295.0,9,0.84,0,0,156.9,1,13.2,29,2,0,0,28,0,0,0,0,0,0,2015,73.24,73.24004590868887
83.13,209.0,9,6.93,0,0,156.9,1,33.72,29,2,0,0,28,0,0,0,0,0,0,2015,83.13,83.12950816041463
